Feature,Importance
TotalCharges,0.1875534644608962
tenure,0.17363956983665624
MonthlyCharges,0.16709095211458805
PaymentMethod_Electronic check,0.03918006888591577
InternetService_Fiber optic,0.03740110399410202
Contract_Two year,0.02950180992944126
gender_Male,0.02865643391549549
OnlineSecurity_Yes,0.027171473161849213
PaperlessBilling_Yes,0.026764126091135362
Contract_One year,0.023928764254997226
Partner_Yes,0.022804857807077087
TechSupport_Yes,0.022588489494344745
SeniorCitizen_1,0.021397003400602434
OnlineBackup_Yes,0.02130339523209753
MultipleLines_Yes,0.020407836183430946
DeviceProtection_Yes,0.020183819745422577
Dependents_Yes,0.019814852459558514
StreamingMovies_Yes,0.018208579437603373
StreamingTV_Yes,0.017848376605332467
PaymentMethod_Credit card (automatic),0.014208866097092931
PaymentMethod_Mailed check,0.011960776157720909
OnlineSecurity_No internet service,0.007915850043470589
DeviceProtection_No internet service,0.007738741690757251
TechSupport_No internet service,0.005360373076840096
StreamingTV_No internet service,0.005268905832300714
OnlineBackup_No internet service,0.004994258114218429
InternetService_No,0.004523906870651129
StreamingMovies_No internet service,0.00434599515557901
MultipleLines_No phone service,0.004213392205031128
PhoneService_Yes,0.004023957745791246
